dewPtAvg,heatIndexAvg,relHumAvg,spcHumAvg,tempAvg,wetBulbAvg,datetime,City,Positive,gs pvals,gs pchange,no filter pChange,Gaussian2.0,Dew point,Heat index,Relative humidity,Specific humidity,Temperature,Wet Bulb,popden(sqkm)
55.2,69,65.3,9.5,68.9,60.7,03/18/2020,Delhi,1,2,,11.11111111,20.12046313,50.4,62.6,67.7,7.9,62.4,55.6,7400
54.1,70.2,60.5,9.2,70,60.7,03/19/2020,Delhi,2,3,,20,24.37625421,47.6,62.9,60.2,7.2,62.8,54.5,7400
55.9,73.2,59.5,9.9,73,62.8,03/20/2020,Delhi,5,4,80,50,27.09518839,56.2,67.8,68.6,10.1,67.3,60.6,7400
51,72.8,49.3,8.2,72.8,60.5,03/21/2020,Delhi,9,4,44.4444444444444,52.94117647,26.41650934,58,68.6,71.9,10.6,68.4,62.1,7400
50.8,73.4,48.7,8.2,73.3,60.8,03/22/2020,Delhi,2,4,30.7692307692308,7.692307692,22.68318264,50.8,65.4,62.9,8.2,65.3,57.4,7400
54.5,68.6,61.7,9.3,68.5,60.2,03/23/2020,Delhi,2,3,17.6470588235294,7.142857143,18.19180066,54.5,60.1,82.2,9.3,60.1,56.7,7400
56.3,74.8,57.4,10,74.6,63.6,03/25/2020,Delhi,5,3,15,16.66666667,15.44158281,53,64.2,70,8.8,63.9,57.5,7400
58,74.8,58.9,10.6,74.6,64.4,03/26/2020,Delhi,1,4,17.3913043478261,2.857142857,15.7482156,52.8,66.3,65.3,8.7,66.3,58.5,7400
60.6,66.3,82.1,11.5,66.3,62.7,03/27/2020,Delhi,4,7,25.9259259259259,11.11111111,18.97297165,55.2,69,65.3,9.5,68.9,60.7,7400
55.2,69.5,64.3,9.5,69.4,60.9,03/28/2020,Delhi,9,12,35.2941176470588,22.5,23.88003765,54.1,70.2,60.5,9.2,70,60.7,7400
53.6,72.3,56.1,9.1,72.3,61.5,03/29/2020,Delhi,23,18,39.1304347826087,46.93877551,28.93958693,55.9,73.2,59.5,9.9,73,62.8,7400
48.3,71.5,47.8,7.4,71.5,59,03/30/2020,Delhi,25,26,40.625,34.72222222,33.30679416,51,72.8,49.3,8.2,72.8,60.5,7400
48.9,72.6,47.6,7.7,72.5,59.8,03/31/2020,Delhi,23,40,44.4444444444444,23.71134021,36.85869129,50.8,73.4,48.7,8.2,73.3,60.8,7400
55.2,75.8,53.3,9.6,75.6,63.5,04/01/2020,Delhi,32,59,45.3846153846154,26.66666667,39.03192805,54.5,68.6,61.7,9.3,68.5,60.2,7400
